"V1" "V2"
"1" 0 " u"
"2" 2907 " 1"
"3" 6451 " q"
"4" 8687 " 1"
"5" 21979 " o"
"6" 23473 " u"
"7" 32498 " 2"
"8" 34662 " w"
"9" 37052 " 2"
"10" 43115 " 4"
"11" 48186 " 3"
"12" 50249 " 1"
"13" 51832 " q"
"14" 53375 " 1"
"15" 77293 " 3"
"16" 83662 " o"
"17" 84461 " u"
"18" 97850 " 4"
"19" 104584 " 2"
"20" 106265 " w"
"21" 108638 " 2"
"22" 111431 " w"
"23" 113561 " 2"
"24" 116694 " 1"
"25" 117736 " 3"
"26" 128610 " 1"
"27" 131279 " q"
"28" 134076 " 1"
"29" 139654 " 2"
"30" 154295 " w"
"31" 155513 " 2"
"32" 158305 " 1"
"33" 168117 " o"
"34" 168879 " u"
"35" 172933 " q"
"36" 177629 " p"
