"V1" "V2"
"1" 0 " u"
"2" 4329 " 2"
"3" 5797 " 3"
"4" 16097 " 4"
"5" 20450 " 2"
"6" 22649 " 1"
"7" 29673 " 3"
"8" 37096 " 4"
"9" 39235 " 2"
"10" 40545 " w"
"11" 41838 " 2"
"12" 44674 " o"
"13" 46347 " u"
"14" 49253 " w"
"15" 50430 " 2"
"16" 52834 " 1"
"17" 54036 " 3"
"18" 64918 " 4"
"19" 70681 " 2"
"20" 72959 " w"
"21" 74487 " 2"
"22" 78681 " 1"
"23" 80143 " q"
"24" 81870 " 1"
"25" 84873 " 3"
"26" 89259 " o"
"27" 94154 " u"
"28" 95353 " o"
"29" 98293 " u"
"30" 102408 " 4"
"31" 106608 " 2"
"32" 108288 " w"
"33" 110547 " 2"
"34" 114229 " 1"
"35" 115819 " q"
"36" 119218 " p"
