"","ID","test","species","sex","experiment.type","correct.cue","speed","color","side","activity.time","inactivity.time","refuge.time","getting.out.refuge.time","activity.prop","inactivity.prop","refuge.prop","first.quadrant.prop","second.quadrant.prop","third.quadrant.prop","fourth.quadrant.prop","first.cue.time","time.until.first.cue","second.cue.time","time.until.second.cue","third.cue.time","time.until.third.cue","fourth.cue.time","time.until.fourth.cue","touch.1.cue","touch.2.cues","touch.3.cues","touch.4.cues","correct.cue.time","time.until.correct.cue","total.cue.time","time.until.first.quadrant","time.until.second.quadrant","time.until.correct.quadrant","time.until.lid.exploring","times.resting","escape.time","escape.attemps","refuge.exit","refuge.enter.times","refuge.re.enter","success","success.time","eating.time","eating.times","time.until.eating","lid.exploring.time","lid.exploring.times","cut.uncut"
"1","OC1","OC1.1","Osmia cornuta","Female","Treatment","","2x",NA,NA,861050,0,38950,38950,0.9567,0,0.0433,0.2801,0.3177,0.1669,0.124,17658,110014,13406,92758,5342,122292,13028,697440,92758,202772,325064,1022504,NA,NA,49434,58578,89248,NA,NA,0,666452,20,"Yes",0,0,1,697440,NA,NA,NA,NA,NA,"uncut"
"2","OC2","OC2.1","Osmia cornuta","Female","Treatment","","2x",NA,NA,156452,736136,7412,7412,0.1738,0.8179,0.0082,0,0,0.0704,0.9078,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,3,0,0,"Yes",0,0,0,NA,NA,NA,NA,NA,NA,"uncut"
"3","OC3","OC3.1","Osmia cornuta","Female","Control","","2x",NA,NA,818282,81718,0,NA,0.9092,0.0908,0,0.4394,0.3078,0.1387,0.0781,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,35676,124620,NA,NA,1,741304,15,"No",0,0,0,NA,NA,NA,NA,NA,NA,"uncut"
"4","OC4","OC4.1","Osmia cornuta","Female","Control","","4x",NA,NA,843876,0,0,NA,0.9376,0,0,0.2405,0.2819,0.3402,0.1176,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,46116,128316,NA,NA,0,762360,22,"No",0,0,0,NA,NA,NA,NA,NA,NA,"uncut"
"5","OC5","OC5.1","Osmia cornuta","Female","Treatment","","2x",NA,NA,0,0,9e+05,9e+05,0,0,1,0,0,0,0,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,"No",0,0,0,NA,NA,NA,NA,NA,NA,"uncut"
"6","OC6","OC6.1","Osmia cornuta","Female","Treatment","","2x",NA,NA,429250,55822,414928,370814,0.4769,0.062,0.461,0.1559,0.0346,0.0827,0.1286,50160,396846,23152,802398,2576,536446,25120,573678,396846,933292,1506970,2309368,NA,NA,101008,387134,558270,NA,NA,2,104432,4,"Yes",2,1,1,802398,NA,NA,NA,NA,NA,"uncut"
"7","OC7","OC7.1","Osmia cornuta","Female","Treatment","","2x",NA,NA,691996,141124,66880,66880,0.7689,0.1568,0.0743,0.1141,0.1036,0.3771,0.1117,60334,111072,47506,97360,83200,657296,0,NA,97360,208432,865728,NA,NA,NA,191040,73056,89742,NA,NA,1,160752,3,"Yes",0,0,0,NA,NA,NA,NA,NA,NA,"uncut"
"8","OC8","OC8.1","Osmia cornuta","Female","Control","","4x",NA,NA,411284,479852,0,NA,0.457,0.5332,0,0.1626,0.1654,0.1963,0.4391,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,32932,228416,NA,NA,8,62044,2,"No",0,0,0,NA,NA,NA,NA,NA,NA,"uncut"
"9","OC9","OC9.1","Osmia cornuta","Female","Control","","4x",NA,NA,552828,347172,0,NA,0.6143,0.3857,0,0.1277,0.1466,0.1423,0.5585,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,763908,180132,NA,NA,7,0,0,"No",0,0,0,NA,NA,NA,NA,NA,NA,"uncut"
"10","OC10","OC10.1","Osmia cornuta","Female","Control","","4x",NA,NA,674104,225896,0,NA,0.749,0.251,0,0.3732,0.3836,0.1672,0.0327,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,38908,194716,NA,NA,7,335328,7,"No",0,0,0,NA,NA,NA,NA,NA,NA,"uncut"
"11","OC11","OC11.1","Osmia cornuta","Male","Treatment","","2x",NA,NA,726850,3170,169980,169980,0.8076,0.0035,0.1889,0.1627,0.2469,0.3439,0.0186,2366,675706,5522,214554,19442,225450,2992,408524,214554,440004,848528,1524234,NA,NA,30322,181756,174748,NA,NA,1,472918,6,"Yes",0,0,1,675706,NA,NA,NA,NA,NA,"uncut"
"12","OC12","OC12.1","Osmia cornuta","Female","Treatment","","2x",NA,NA,465220,325298,109482,109482,0.5169,0.3614,0.1216,0.5261,0.0444,0.2043,0.0576,8780,171690,8094,346906,14304,144316,6116,191226,144316,316006,507232,854138,NA,NA,37294,124970,123210,NA,NA,1,23312,1,"Yes",0,0,1,346906,NA,NA,NA,NA,NA,"uncut"
"13","OC13","OC13.1","Osmia cornuta","Female","Control","","4x",NA,NA,9e+05,0,0,NA,1,0,0,0.3701,0.1591,0.2454,0.2021,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,20952,108568,NA,NA,0,855112,13,"No",0,0,0,NA,NA,NA,NA,NA,NA,"uncut"
"14","OC14","OC14.1","Osmia cornuta","Male","Control","","4x",NA,NA,862024,37976,0,NA,0.9578,0.0422,0,0.2752,0.1504,0.319,0.2236,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,54248,324840,NA,NA,4,701116,12,"No",0,0,0,NA,NA,NA,NA,NA,NA,"uncut"
"15","OC15","OC15.1","Osmia cornuta","Female","Treatment","","2x",NA,NA,412858,19682,467460,467460,0.4587,0.0219,0.5194,0.1062,0.0588,0.1252,0.1218,2738,519908,27870,491012,16678,478340,9728,533524,478340,969352,1489260,2022784,NA,NA,57014,485348,489524,NA,NA,2,132718,10,"Yes",0,0,1,533524,NA,NA,NA,NA,NA,"uncut"
"16","OC16","OC16.1","Osmia cornuta","Male","Treatment","","2x",NA,NA,412974,51968,426560,7808,0.4589,0.0577,0.474,0.1346,0.0451,0.2114,0.0769,2304,88416,4690,181534,27698,21022,10174,146320,21022,109438,255758,437292,NA,NA,44866,65328,179982,NA,NA,2,204654,11,"Yes",2,1,1,181534,NA,NA,NA,NA,NA,"uncut"
"17","OC17","OC17.1","Osmia cornuta","Male","Control","","4x",NA,NA,896480,3520,0,NA,0.9961,0.0039,0,0.2345,0.2206,0.295,0.2374,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,120500,128248,NA,NA,1,758348,18,"No",0,0,0,NA,NA,NA,NA,NA,NA,"uncut"
"18","OC18","OC18.1","Osmia cornuta","Male","Control","","4x",NA,NA,284480,615520,0,NA,0.3161,0.6839,0,0.2059,0.0361,0.644,0.1051,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,112252,94044,NA,NA,4,173380,3,"No",0,0,0,NA,NA,NA,NA,NA,NA,"uncut"
