"","ID","test","species","sex","experiment.type","correct.cue","speed","color","side","activity.time","inactivity.time","activity.prop","inactivity.prop","first.quadrant.prop","second.quadrant.prop","third.quadrant.prop","fourth.quadrant.prop","first.cue.time","time.until.first.cue","second.cue.time","time.until.second.cue","touch.1.cue","touch.2.cues","correct.cue.time","time.until.correct.cue","time.until.first.quadrant","time.until.second.quadrant","time.until.correct.quadrant","times.resting","escape.time","escape.attemps","eating.time","eating.times","time.until.eating","cut.uncut"
"12","OC12","OC12.2","Osmia cornuta","Female","Treatment","Blue left","2x","Blue","Left",238436,0,0.2649,0,0.0317,0.0592,0.1025,0.0366,671816,160286,12514,81090,81090,241376,671816,160286,45298,8658,45298,0,149088,3,661564,1,238436,"cut"
"13","OC13","OC13.2","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",256674,19910,0.2852,0.0221,0.0729,0.0337,0.0403,0.0957,659348,124328,18794,88794,88794,213122,659348,124328,63100,59678,63100,1,200992,6,623416,1,276584,"cut"
"19","OC19","OC19.2","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",304860,0,0.3387,0,0.2239,0.0531,0,0,21982,160636,607492,292508,160636,453144,607492,292508,21212,244748,244748,0,104738,2,595140,1,304860,"cut"
"21","OC21","OC21.2","Osmia cornuta","Male","Control","Blue right","2x","Blue","Right",412994,69516,0.4589,0.0772,0.1399,0.1527,0.1106,0.0989,0,NA,438208,431104,431104,NA,438208,431104,9932,117492,117492,5,161582,5,413072,1,486928,"cut"
"22","OC22","OC22.2","Osmia cornuta","Female","Control","Blue right","2x","Blue","Right",430766,1798,0.4786,0.002,0.0338,0.0126,0.0884,0,10212,40298,758394,141606,40298,181904,758394,141606,31236,50616,50616,1,309542,3,467436,1,432564,"cut"
"23","OC23","OC23.2","Osmia cornuta","Male","Treatment","Blue right","2x","Blue","Right",473384,23038,0.526,0.0256,0.1398,0.1198,0.1256,0.1293,21238,10104,411400,132936,10104,143040,411400,132936,4312,129800,129800,5,323412,8,403578,1,496422,"cut"
"25","OC25","OC25.2","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",106938,0,0.1188,0,0.0221,0.0571,0.0079,0.0034,0,NA,806694,56770,56770,NA,806694,56770,17080,11878,11878,0,67598,7,793062,1,106938,"cut"
"27","OC27","OC27.2","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",138046,0,0.1534,0,0.0316,0.0456,0.0191,0.0082,4970,34338,771386,128614,34338,162952,771386,128614,29532,75608,75608,0,51124,2,761954,1,138046,"cut"
"29","OC29","OC29.2","Osmia cornuta","Male","Treatment","Yellow left","2x","Yellow","Left",166862,47308,0.1854,0.0526,0.0054,0.0594,0,0.0955,695860,201168,8788,56672,56672,257840,695860,201168,199292,51120,199292,1,114558,4,685830,1,214170,"cut"
"30","OC30","OC30.2","Osmia cornuta","Female","Treatment","Yellow left","2x","Yellow","Left",47498,42120,0.0528,0.0468,0.0034,0,0.0202,0,815482,84518,0,NA,84518,NA,815482,84518,81432,NA,81432,1,0,0,810382,1,89618,"cut"
"32","OC32","OC32.2","Osmia cornuta","Male","Control","Yellow left","2x","Yellow","Left",292918,47806,0.3255,0.0531,0.1626,0.0487,0.0766,0.0271,609752,203766,1100,249752,203766,453518,609752,203766,5628,223188,5628,1,270108,5,555650,1,344350,"cut"
"35","OC35","OC35.2","Osmia cornuta","Female","Treatment","Blue left","2x","Blue","Left",247054,14074,0.2745,0.0156,0.0966,0.0584,0.0171,0.0593,670142,60288,16154,167184,60288,227472,670142,60288,5368,117102,5368,1,215984,12,638872,1,261128,"cut"
"36","OC36","OC36.2","Osmia cornuta","Male","Treatment","Blue left","2x","Blue","Left",281312,0,0.3126,0,0.0668,0.115,0.081,0.0184,628382,271618,13524,43394,43394,315012,628382,271618,29020,41264,29020,0,264278,7,618688,1,281312,"cut"
"37","OC37","OC37.2","Osmia cornuta","Female","Treatment","Blue left","2x","Blue","Left",67378,64288,0.0749,0.0714,0.002,0.0447,0,0,775102,124898,802,120704,120704,245602,775102,124898,123122,82096,123122,1,0,0,768334,1,131666,"cut"
"40","OC40","OC40.2","Osmia cornuta","Male","Treatment","Yellow left","2x","Yellow","Left",113854,0,0.1265,0,0.0137,0,0.0562,0.0334,795986,104014,0,NA,104014,NA,795986,104014,49758,NA,49758,0,90826,3,786146,1,113854,"cut"
"41","OC41","OC41.2","Osmia cornuta","Male","Control","Yellow right","2x","Yellow","Right",190898,0,0.2121,0,0.0098,0.0038,0.0195,0.154,3548,14208,717518,182482,14208,196690,717518,182482,10672,179102,179102,0,143834,5,709102,1,190898,"cut"
"42","OC42","OC42.2","Osmia cornuta","Male","Control","Yellow right","2x","Yellow","Right",143068,0,0.159,0,0.0086,0.019,0.032,0.0727,2696,66246,761264,138736,66246,204982,761264,138736,62724,50014,50014,0,115136,5,756932,1,143068,"cut"
"43","OC43","OC43.2","Osmia cornuta","Male","Control","Yellow right","2x","Yellow","Right",30604,0,0.034,0,0.0115,0.0032,0,0,0,NA,878344,21656,21656,NA,878344,21656,8474,18814,18814,0,0,0,869396,1,30604,"cut"
"44","OC44","OC44.2","Osmia cornuta","Male","Treatment","Yellow right","2x","Yellow","Right",172412,0,0.1916,0,0.1124,0.0038,0.0486,0,12258,58820,731402,168598,58820,227418,731402,168598,8070,165208,165208,0,101558,3,727588,1,172412,"cut"
"45","OC45","OC45.2","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",182798,0,0.2031,0,0.0167,0.0686,0.0412,0.031,2486,105550,739146,97742,97742,203292,739146,97742,104712,60076,60076,0,151804,6,717202,1,182798,"cut"
"48","OC48","OC48.2","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",100110,0,0.1112,0,0,8e-04,0.0035,0.0806,0,NA,817686,82314,82314,NA,817686,82314,NA,81608,81608,0,68580,2,799890,1,100110,"cut"
"49","OC49","OC49.2","Osmia cornuta","Male","Control","Yellow right","2x","Yellow","Right",47126,0,0.0524,0,0.0225,0.0067,0.0073,0,1446,34712,856274,43726,34712,78438,856274,43726,16022,37700,37700,0,27982,1,852874,1,47126,"cut"
"50","OC50","OC50.2","Osmia cornuta","Male","Control","Yellow right","2x","Yellow","Right",592186,0,0.658,0,0.1066,0.0236,0.0422,0.2308,202614,65196,315954,584046,65196,649242,315954,584046,59192,143002,143002,0,302024,2,307814,1,592186,"cut"
"51","OC51","OC51.2","Osmia cornuta","Male","Treatment","Yellow left","2x","Yellow","Left",51226,11690,0.0569,0.013,0.0039,0.0145,0.0091,0.0039,846176,53824,830,41702,41702,95526,846176,53824,50300,36426,50300,1,0,0,837084,1,62916,"cut"
"52","OC52","OC52.2","Osmia cornuta","Male","Treatment","Yellow left","2x","Yellow","Left",31290,168544,0.0348,0.1873,0.0051,0,0.0054,0,712132,187868,0,NA,187868,NA,712132,187868,183276,NA,183276,1,0,0,700166,1,199834,"cut"
"53","OC53","OC53.2","Osmia cornuta","Male","Treatment","Yellow left","2x","Yellow","Left",121452,0,0.1349,0,0.0376,0.0091,0.0451,0.0225,784768,55358,0,NA,55358,NA,784768,55358,31262,23070,31262,0,27182,1,778548,1,121452,"cut"
"56","OC56","OC56.2","Osmia cornuta","Male","Control","Yellow left","2x","Yellow","Left",116140,0,0.129,0,0.0263,0.0712,0,0,797650,27612,6386,10254,10254,37866,797650,27612,25804,8268,25804,0,99600,2,783860,1,116140,"cut"
"57","OC57","OC57.2","Osmia cornuta","Female","Control","Yellow left","2x","Yellow","Left",145044,12200,0.1612,0.0136,0.0258,0.0041,0.047,0.0623,752820,88808,0,NA,88808,NA,752820,88808,50270,46606,50270,1,93838,2,742756,1,157244,"cut"
"58","OC58","OC58.2","Osmia cornuta","Female","Treatment","Blue left","2x","Blue","Left",52860,0,0.0587,0,0.0113,0.0128,0.0076,0,866548,17866,0,NA,17866,NA,866548,17866,16396,4860,16396,0,0,0,847140,1,52860,"cut"
"59","OC59","OC59.2","Osmia cornuta","Female","Treatment","Blue left","2x","Blue","Left",775894,0,0.8621,0,0.19,0.1522,0.2243,0.239,148838,117446,19618,40364,40364,157810,148838,117446,46734,38060,46734,0,748556,16,124106,1,775894,"cut"
"62","OC62","OC62.2","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",633166,0,0.7035,0,0.2338,0.1658,0.0713,0.0934,346040,41844,39236,194982,41844,236826,346040,41844,6890,135894,6890,0,480866,5,266834,1,633166,"cut"
"71","OC71","OC71.2","Osmia cornuta","Female","Treatment","Blue right","2x","Blue","Right",162880,135006,0.181,0.15,0.114,0.0247,0.0208,0.0029,123816,21778,608952,241442,21778,263220,608952,241442,21064,213666,213666,1,122856,4,601182,1,298818,"cut"
"73","OC73","OC73.2","Osmia cornuta","Female","Treatment","Blue left","2x","Blue","Left",21820,0,0.0242,0,0.003,0.01,0,0,882562,17438,2418,6520,6520,23958,882562,17438,14772,3312,14772,0,0,0,878180,1,21820,"cut"
