"","ID","test","species","sex","experiment.type","correct.cue","speed","color","side","activity.time","inactivity.time","activity.prop","inactivity.prop","first.quadrant.prop","second.quadrant.prop","third.quadrant.prop","fourth.quadrant.prop","first.cue.time","time.until.first.cue","second.cue.time","time.until.second.cue","touch.1.cue","touch.2.cues","correct.cue.time","time.until.correct.cue","total.cue.time","time.until.first.quadrant","time.until.second.quadrant","time.until.correct.quadrant","times.resting","escape.time","escape.attemps","success","success.time","eating.times","cut.uncut"
"9","OC9","OC9.4","Osmia cornuta","Female","Treatment","Yellow left","2x","Yellow","Left",635184,220558,0.7058,0.2451,0.179,0,0,0,709568,125742,0,NA,125742,NA,709568,125742,709568,29328,NA,29328,3,0,0,TRUE,341586,1,"uncut"
"11","OC11","OC11.4","Osmia cornuta","Male","Treatment","Blue left","2x","Blue","Left",677562,207164,0.7528,0.2302,0.091,0.0896,0.0572,0.0423,629448,22944,13906,68132,22944,91076,629448,22944,643354,17066,6406,17066,4,154474,5,TRUE,46000,1,"uncut"
"12","OC12","OC12.4","Osmia cornuta","Female","Treatment","Blue left","2x","Blue","Left",807930,85636,0.8977,0.0952,0.111,0.1785,0.1285,0.1656,250652,75748,115344,32148,32148,107896,250652,75748,365996,72036,31684,72036,5,524444,10,FALSE,NA,2,"uncut"
"13","OC13","OC13.4","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",9e+05,0,1,0,0.2419,0.2557,0.1609,0.2316,47482,12278,49028,29526,12278,41804,49028,29526,96510,2392,25190,25190,0,856568,14,FALSE,NA,0,"uncut"
"15","OC15","OC15.4","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",9e+05,0,1,0,0.2669,0.255,0.1869,0.1697,11692,8078,91362,48766,8078,56844,91362,48766,103054,6256,47806,47806,0,880194,19,FALSE,NA,0,"uncut"
"19","OC19","OC19.4","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",865026,31258,0.9611,0.0347,0.1711,0.2598,0.2256,0.1505,32154,369336,109760,224898,224898,594234,109760,224898,141914,31802,120136,120136,1,683566,8,FALSE,NA,1,"uncut"
"21","OC21","OC21.4","Osmia cornuta","Male","Control","Yellow left","2x","Yellow","Left",791042,15642,0.8789,0.0174,0.1401,0.3155,0.1682,0.1272,167888,213038,30694,339286,213038,552324,167888,213038,198582,160244,25546,160244,1,583830,7,TRUE,225556,2,"uncut"
"22","OC22","OC22.4","Osmia cornuta","Female","Control","Yellow left","2x","Yellow","Left",9e+05,0,1,0,0.1802,0.3122,0.1638,0.1516,124228,23712,42270,112736,23712,136448,124228,23712,166498,15876,11458,15876,0,819844,16,TRUE,23712,0,"uncut"
"23","OC23","OC23.4","Osmia cornuta","Male","Treatment","Blue right","2x","Blue","Right",362678,531446,0.403,0.5905,0.6805,0.0347,0,0,0,NA,234826,29552,29552,NA,234826,29552,234826,287566,21506,21506,3,17410,1,TRUE,45116,1,"uncut"
"24","OC24","OC24.4","Osmia cornuta","Female","Treatment","Yellow left","2x","Yellow","Left",840912,10930,0.9343,0.0121,0.1681,0.1715,0.2218,0.2298,173170,10810,11948,74426,10810,85236,173170,10810,185118,6730,72092,6730,1,749592,32,TRUE,31868,3,"uncut"
"27","OC27","OC27.4","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",9e+05,0,1,0,0.2503,0.2707,0.1446,0.2169,50378,21486,50118,59134,21486,80620,50378,21486,100496,8224,5248,8224,0,865074,26,FALSE,NA,0,"uncut"
"28","OC28","OC28.4","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",862156,37844,0.958,0.042,0.2609,0.2087,0.2599,0.0904,75078,96386,51392,140786,96386,237172,51392,140786,126470,54226,136242,136242,2,645054,22,TRUE,115650,0,"uncut"
"29","OC29","OC29.4","Osmia cornuta","Male","Treatment","Yellow left","2x","Yellow","Left",809110,0,0.899,0,0.1537,0.115,0.1973,0.1393,320216,17094,22886,112526,17094,129620,320216,17094,343102,12086,105252,12086,0,324328,8,TRUE,33106,7,"uncut"
"30","OC30","OC30.4","Osmia cornuta","Female","Treatment","Yellow left","2x","Yellow","Left",784194,115806,0.8713,0.1287,0.281,0.4821,0.0955,0.0645,33684,25432,27086,43064,25432,68496,33684,25432,60770,22070,17718,22070,1,600234,14,FALSE,NA,0,"uncut"
"31","OC31","OC31.4","Osmia cornuta","Female","Control","Blue right","2x","Blue","Right",9e+05,0,1,0,0.406,0.3127,0.0872,0.0896,24502,82326,60090,120862,82326,203188,60090,120862,84592,17554,46250,46250,0,878160,11,FALSE,NA,0,"uncut"
"32","OC32","OC32.4","Osmia cornuta","Male","Control","Blue right","2x","Blue","Right",741414,158586,0.8238,0.1762,0.4709,0.2367,0,0.0398,49100,228604,170836,707748,228604,936352,170836,707748,219936,7432,465464,465464,2,0,0,FALSE,NA,0,"uncut"
"33","OC33","OC33.4","Osmia cornuta","Female","Treatment","Blue right","2x","Blue","Right",654220,245780,0.7269,0.2731,0.5264,0.0857,0.2078,0.0712,27242,218720,54696,261744,218720,480464,54696,261744,81938,179734,37744,37744,1,452612,7,FALSE,NA,0,"uncut"
"34","OC34","OC34.4","Osmia cornuta","Female","Treatment","Blue right","2x","Blue","Right",898036,0,0.9978,0,0.2562,0.12,0.3427,0.1771,54542,13986,30452,176210,13986,190196,30452,176210,84994,8666,38996,38996,0,766268,14,FALSE,NA,1,"uncut"
"35","OC35","OC35.4","Osmia cornuta","Female","Treatment","Blue left","2x","Blue","Left",644760,232150,0.7164,0.2579,0.1651,0.1451,0.0899,0.1133,384442,54540,44346,189086,54540,243626,384442,54540,428788,43762,9096,43762,3,485370,5,TRUE,67168,3,"uncut"
"37","OC37","OC37.4","Osmia cornuta","Female","Treatment","Blue left","2x","Blue","Left",467256,432744,0.5192,0.4808,0.4854,0.0722,0,0.136,49488,444046,214244,199418,199418,643464,49488,444046,263732,413662,61394,413662,3,179948,2,FALSE,NA,0,"uncut"
