"","ID","test","species","sex","experiment.type","correct.cue","speed","color","side","activity.time","inactivity.time","activity.prop","inactivity.prop","first.quadrant.prop","second.quadrant.prop","third.quadrant.prop","fourth.quadrant.prop","first.cue.time","time.until.first.cue","second.cue.time","time.until.second.cue","touch.1.cue","touch.2.cues","correct.cue.time","time.until.correct.cue","time.until.first.quadrant","time.until.second.quadrant","time.until.correct.quadrant","time.until.lid.exploring","times.resting","escape.time","escape.attemps","success","success.time","time.until.eating","lid.exploring.time","lid.exploring.times","cut.uncut"
"9","OC9","OC9.5","Osmia cornuta","Female","Treatment","Yellow left","2x","Yellow","Left",43796,856204,0.0487,0.9513,0.9879,0,0,0,0,NA,0,NA,NA,NA,0,NA,10890,NA,10890,NA,1,0,0,FALSE,NA,NA,0,0,"cut"
"13","OC13","OC13.5","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",67222,0,1,0,0.2168,0,0,0,50436,16786,0,NA,16786,NA,50436,16786,2210,NA,2210,21218,0,0,0,TRUE,34754,34754,13536,1,"cut"
"15","OC15","OC15.5","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",556600,343400,0.6184,0.3816,0.5844,0.1928,0.0385,0.0229,69782,19206,62200,41362,19206,60568,62200,41362,13230,37652,37652,678072,1,305994,5,FALSE,NA,NA,29982,1,"cut"
"20","OC20","OC20.5","Osmia cornuta","Female","Treatment","Blue right","2x","Blue","Right",884518,15482,0.9828,0.0172,0.2322,0.2192,0.2341,0.1282,115862,56912,22926,215580,56912,272492,22926,215580,38834,37790,37790,NA,1,856384,18,FALSE,NA,NA,0,0,"cut"
"22","OC22","OC22.5","Osmia cornuta","Female","Control","Blue right","2x","Blue","Right",897890,2110,0.9977,0.0023,0.2453,0.2666,0.0853,0.178,51430,5990,148238,268776,5990,274766,148238,268776,2676,13418,13418,274160,1,676126,17,FALSE,NA,NA,143162,5,"cut"
"24","OC24","OC24.5","Osmia cornuta","Female","Treatment","Yellow left","2x","Yellow","Left",411790,488210,0.4575,0.5425,0.088,0.0932,0.0884,0.0569,589138,118062,9152,71614,71614,189676,589138,118062,103454,16654,103454,275342,1,234288,5,FALSE,NA,NA,64752,2,"cut"
"33","OC33","OC33.5","Osmia cornuta","Female","Treatment","Blue right","2x","Blue","Right",765730,134270,0.8508,0.1492,0.9346,0,0,0,54104,86034,0,NA,86034,NA,0,NA,4784,NA,NA,NA,2,562856,6,FALSE,NA,NA,0,0,"cut"
"34","OC34","OC34.5","Osmia cornuta","Female","Treatment","Blue right","2x","Blue","Right",237466,662534,0.2639,0.7361,0.0158,0.9055,0.0128,0.0352,2752,842088,12504,41780,41780,883868,12504,41780,17042,24018,24018,NA,1,116058,2,FALSE,NA,NA,0,0,"cut"
"38","OC38","OC38.5","Osmia cornuta","Male","Treatment","Yellow left","2x","Yellow","Left",373696,0,1,0,0.2328,0.0432,0.0686,0.01,226648,15660,2132,134110,15660,149770,226648,15660,12396,125854,12396,20410,0,64682,5,TRUE,359844,359844,225454,7,"cut"
"39","OC39","OC39.5","Osmia cornuta","Male","Treatment","Yellow left","2x","Yellow","Left",159668,20340,0.887,0.113,0.0375,0,0,0,142008,38000,0,NA,38000,NA,142008,38000,31254,NA,31254,39318,1,0,0,TRUE,140000,140000,100682,1,"cut"
