ID,Genus,Species,Sex,Place,Date,IT,Weigth (g),Head weight (g),Plant,Brain Weight (mg),No optic lobes weight,Notes
OC1,Osmia,Osmia cornuta,Female,Mauerbienen,,3.791,,,,,,
OC2,Osmia,Osmia cornuta,Female,Mauerbienen,,3.645,,,,,,
OC3,Osmia,Osmia cornuta,Female,Mauerbienen,,3.655,,,,,,
OC4,Osmia,Osmia cornuta,Female,Mauerbienen,,3.576,,,,,,
OC5,Osmia,Osmia cornuta,Female,Mauerbienen,,3.687,,,,,,
OC6,Osmia,Osmia cornuta,Female,Mauerbienen,,3.433,,,,,,
OC7,Osmia,Osmia cornuta,Female,Mauerbienen,,,,,,,,
OC8,Osmia,Osmia cornuta,Female,Mauerbienen,,,,,,,,
OC9,Osmia,Osmia cornuta,Female,Mauerbienen,,3.521,,,,,,
OC10,Osmia,Osmia cornuta,Female,Mauerbienen,,3.949,,,,,,
OC11,Osmia,Osmia cornuta,Male,Mauerbienen,,3.094,,,,1.003,0.408,
OC12,Osmia,Osmia cornuta,Female,Mauerbienen,,3.427,,,,1.738,,
OC13,Osmia,Osmia cornuta,Female,Mauerbienen,,,,,,,,
OC14,Osmia,Osmia cornuta,Male,Mauerbienen,,2.764,,,,1.288,0.669,
OC15,Osmia,Osmia cornuta,Female,Mauerbienen,,,,,,,,
OC16,Osmia,Osmia cornuta,Male,Mauerbienen,,,,,,,,
OC17,Osmia,Osmia cornuta,Male,Mauerbienen,,2.772,,,,0.92,0.591,
OC18,Osmia,Osmia cornuta,Male,Mauerbienen,,,,,,,,
OC19,Osmia,Osmia cornuta,Female,Mauerbienen,,,,,,,,
OC20,Osmia,Osmia cornuta,Female,Mauerbienen,,3.719,,,,1.71,0.87,
OC21,Osmia,Osmia cornuta,Male,Mauerbienen,,3.114,,,,1.19,0.677,
OC22,Osmia,Osmia cornuta,Female,Mauerbienen,,3.821,,,,,,
OC23,Osmia,Osmia cornuta,Male,Mauerbienen,,3.058,,,,1.362,,
OC24,Osmia,Osmia cornuta,Female,Mauerbienen,,3.556,,,,,,
OC25,Osmia,Osmia cornuta,Female,Mauerbienen,,3.828,,,,1.803,0.854,
OC26,Osmia,Osmia cornuta,Female,Mauerbienen,,3.718,,,,1.755,0.898,
OC27,Osmia,Osmia cornuta,Female,Mauerbienen,,3.605,,,,1.765,0.955,
OC28,Osmia,Osmia cornuta,Female,Mauerbienen,,3.607,,,,1.46,0.517,
OC29,Osmia,Osmia cornuta,Male,Mauerbienen,,3.314,,,,,,
OC30,Osmia,Osmia cornuta,Female,Mauerbienen,,3.117,,,,1.715,0.651,
OC31,Osmia,Osmia cornuta,Female,Mauerbienen,,3.974,,,,1.321,0.7,
OC32,Osmia,Osmia cornuta,Male,Mauerbienen,,3.366,,,,1.356,0.734,
OC33,Osmia,Osmia cornuta,Female,Mauerbienen,,3.641,,,,,,
OC34,Osmia,Osmia cornuta,Female,Mauerbienen,,4.177,,,,,,
OC35,Osmia,Osmia cornuta,Female,Mauerbienen,,3.78,,,,2.03,0.983,
OC36,Osmia,Osmia cornuta,Male,Mauerbienen,,,,,,,,
OC37,Osmia,Osmia cornuta,Female,Mauerbienen,,3.647,,,,2.216,1.018,
OC38,Osmia,Osmia cornuta,Male,Mauerbienen,,2.802,,,,1.6,0.804,
OC39,Osmia,Osmia cornuta,Male,Mauerbienen,,2.899,,,,1.961,0.816,
OC40,Osmia,Osmia cornuta,Male,Mauerbienen,,,,,,,,
OC41,Osmia,Osmia cornuta,Male,Mauerbienen,,3.034,,,,1.194,0.418,
OC42,Osmia,Osmia cornuta,Male,Mauerbienen,,2.616,,,,1.269,0.777,
OC43,Osmia,Osmia cornuta,Male,Mauerbienen,,3.12,,,,1.158,0.622,
OC44,Osmia,Osmia cornuta,Male,Mauerbienen,,2.798,,,,1.443,0.719,
OC45,Osmia,Osmia cornuta,Female,Mauerbienen,,3.657,,,,,,
OC46,Osmia,Osmia cornuta,Female,Mauerbienen,,3.679,,,,,,
OC47,Osmia,Osmia cornuta,Female,Mauerbienen,,3.746,,,,2.146,0.893,
OC48,Osmia,Osmia cornuta,Female,Mauerbienen,,3.215,,,,,,
OC49,Osmia,Osmia cornuta,Male,Mauerbienen,,2.966,,,,1.563,0.776,
OC50,Osmia,Osmia cornuta,Male,Mauerbienen,,2.84,,,,,0.739,
OC51,Osmia,Osmia cornuta,Male,Mauerbienen,,3.006,,,,,,
OC52,Osmia,Osmia cornuta,Male,Mauerbienen,,2.847,,,,1.627,0.758,
OC53,Osmia,Osmia cornuta,Male,Mauerbienen,,2.921,,,,1.464,0.793,
OC54,Osmia,Osmia cornuta,Male,Mauerbienen,,3.367,,,,1.825,1,
OC55,Osmia,Osmia cornuta,Male,Mauerbienen,,2.901,,,,,,
OC56,Osmia,Osmia cornuta,Male,Mauerbienen,,2.86,,,,1.575,0.681,
OC57,Osmia,Osmia cornuta,Female,Mauerbienen,,3.633,,,,,,
OC58,Osmia,Osmia cornuta,Female,Mauerbienen,,3.541,,,,,,
OC59,Osmia,Osmia cornuta,Female,Mauerbienen,,3.506,,,,,,
OC60,Osmia,Osmia cornuta,Female,Mauerbienen,,3.768,,,,2.296,1.248,
OC61,Osmia,Osmia cornuta,Female,Mauerbienen,,3.613,,,,1.939,0.779,
OC62,Osmia,Osmia cornuta,Female,Mauerbienen,,3.891,,,,2.472,1.093,
OC63,Osmia,Osmia cornuta,Female,Mauerbienen,,3.485,,,,,,
OC64,Osmia,Osmia cornuta,Female,Mauerbienen,,3.337,,,,1.701,0.702,
OC65,Osmia,Osmia cornuta,Male,Mauerbienen,,3.379,,,,2.198,1.104,
OC66,Osmia,Osmia cornuta,,Mauerbienen,,,,,,,,
OC67,Osmia,Osmia cornuta,Male,Mauerbienen,,3.107,,,,,,
OC68,Osmia,Osmia cornuta,Male,Mauerbienen,,,,,,,,
OC69,Osmia,Osmia cornuta,,Mauerbienen,,3.421,,,,2.322,1.246,
OC70,Osmia,Osmia cornuta,Female,Mauerbienen,,3.563,,,,,,
OC71,Osmia,Osmia cornuta,Female,Mauerbienen,,3.694,,,,2.304,1.047,
OC72,Osmia,Osmia cornuta,Female,Mauerbienen,,3.587,,,,1.482,0.692,
OC73,Osmia,Osmia cornuta,Female,Mauerbienen,,3.761,,,,2.643,1.084,
OC74,Osmia,Osmia cornuta,Female,Mauerbienen,,3.553,,,,,0.835,
OC75,Osmia,Osmia cornuta,Female,Mauerbienen,,3.596,,,,1.885,1.028,
OC76,Osmia,Osmia cornuta,Male,Mauerbienen,,2.873,,,,1.223,0.611,
OC77,Osmia,Osmia cornuta,Male,Mauerbienen,,2.812,,,,1.874,0.83,
OC78,Osmia,Osmia cornuta,Male,Mauerbienen,,2.838,,,,1.695,,
OC79,Osmia,Osmia cornuta,Female,Mauerbienen,,3.242,,,,1.506,,
OC80,Osmia,Osmia cornuta,Female,Mauerbienen,,,,,,,,
OC81,Osmia,Osmia cornuta,Female,Mauerbienen,,3.372,,,,,,
OC82,Osmia,Osmia cornuta,Female,Mauerbienen,,3.343,,,,1.594,0.823,
OC83,Osmia,Osmia cornuta,Female,Mauerbienen,,3.557,,,,1.668,0.828,
OC84,Osmia,Osmia cornuta,Female,Mauerbienen,,3.566,,,,1.531,0.82,
